Year,Month,Salary
2025,2,1447
2025,1,1370
2024,13,1144
2024,12,1352
2024,11,null
2024,10,null
2024,9,1713
2024,8,2200
2024,7,null
2024,6,2752
2024,5,1653
2024,4,1676
2024,3,null
2024,2,null
2024,1,null
2023,12,null
2023,11,null
2023,10,null
2023,9,1628
2023,8,1850
2023,7,2401
2023,6,2601
2023,5,1623
2023,4,1451
2023,3,1307
2023,2,null
2023,1,null
2022,12,1406
2022,11,1509
2022,10,1300
2022,9,null
2022,8,1630
2022,7,1969
2022,6,2654
2022,5,1526
2022,4,1521
2022,3,1255
2022,2,1554
2022,1,1554
2021,12,null
2021,11,1674
2021,10,1661
2021,9,1951
2021,8,2565
2021,7,2017
2021,6,2574
2021,5,1478
2021,4,140
2021,3,null
2021,2,1455
2021,1,1733
2020,12,1676
2020,11,1631
2020,10,null
2020,9,1697
2020,8,2151
2020,7,1803
2020,6,2531
2020,5,1505
2020,4,null
2020,3,1538
2020,2,1506
2020,1,1578
2019,12,2495
2019,11,1590
2019,10,1498
2019,9,1647
2019,8,1936
2019,7,4543
2019,6,2677
2019,5,1802
2019,4,1544
2019,3,1361
2019,2,1341
2019,1,1443
